Annotation Cluster 1	Enrichment Score: 1.4622088329456775
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0016021~integral to membrane	17	22.36842105263158	2.75992227165568E-4	YDL009C, YBR196C-A, YGL204C, YDL211C, YPR159C-A, YJL151C, YKL068W, YFR035C, YHL044W, YIL046W-A, YBR063C, YHR021W-A, YOR235W, YFL051C, YFL015C, YNR066C, YLR296W	24	1488	4595	2.187359991039427	0.011253444028696102	0.011253444028696102	0.2536997371081484
GOTERM_CC_FAT	GO:0031224~intrinsic to membrane	17	22.36842105263158	5.046893217374687E-4	YDL009C, YBR196C-A, YGL204C, YDL211C, YPR159C-A, YJL151C, YKL068W, YFR035C, YHL044W, YIL046W-A, YBR063C, YHR021W-A, YOR235W, YFL051C, YFL015C, YNR066C, YLR296W	24	1559	4595	2.087743211460338	0.020484762713949833	0.01029537876897324	0.4634896497696883
UP_SEQ_FEATURE	transmembrane region	16	21.052631578947366	0.6122318462805133	YDL009C, YBR196C-A, YGL204C, YDL211C, YPR159C-A, YJL151C, YFR035C, YHL044W, YIL046W-A, YBR063C, YHR021W-A, YOR235W, YFL051C, YFL015C, YNR066C, YLR296W	73	1395	6448	1.0130898021308978	1.0	1.0	99.9987943491813
SP_PIR_KEYWORDS	transmembrane	16	21.052631578947366	0.6195619862011469	YDL009C, YBR196C-A, YGL204C, YDL211C, YPR159C-A, YJL151C, YFR035C, YHL044W, YIL046W-A, YBR063C, YHR021W-A, YOR235W, YFL051C, YFL015C, YNR066C, YLR296W	73	1401	6448	1.0087510877748769	1.0	1.0	99.99226909939844
SP_PIR_KEYWORDS	membrane	17	22.36842105263158	0.9247709706244518	YDL009C, YBR196C-A, YGL204C, YDL211C, YPR159C-A, YJL151C, YKL068W, YFR035C, YHL044W, YIL046W-A, YBR063C, YHR021W-A, YOR235W, YFL051C, YFL015C, YNR066C, YLR296W	73	1874	6448	0.8012748351632286	1.0	0.9999999999992673	99.99999999901723

Annotation Cluster 2	Enrichment Score: 0.15886456832583504
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0005524~ATP binding	3	3.9473684210526314	0.5775045405750198	YKL067W, YGL034C, YHR022C	13	651	4190	1.4852889046437434	1.0	0.9999999995578688	99.9751036405257
GOTERM_MF_FAT	GO:0032559~adenyl ribonucleotide binding	3	3.9473684210526314	0.5793126808199927	YKL067W, YGL034C, YHR022C	13	653	4190	1.4807397808929201	1.0	0.9999994596725634	99.9761111012558
GOTERM_MF_FAT	GO:0030554~adenyl nucleotide binding	3	3.9473684210526314	0.6144780199161072	YKL067W, YGL034C, YHR022C	13	693	4190	1.3952713952713955	1.0	0.9999933071005798	99.9896945629453
GOTERM_MF_FAT	GO:0001883~purine nucleoside binding	3	3.9473684210526314	0.617037833800466	YKL067W, YGL034C, YHR022C	13	696	4190	1.3892572944297084	1.0	0.9999321486160367	99.99033503922473
GOTERM_MF_FAT	GO:0001882~nucleoside binding	3	3.9473684210526314	0.6212798579177068	YKL067W, YGL034C, YHR022C	13	701	4190	1.3793481839130912	1.0	0.9996938130363997	99.99131822701129
GOTERM_MF_FAT	GO:0032553~ribonucleotide binding	3	3.9473684210526314	0.6588675372175025	YKL067W, YGL034C, YHR022C	13	747	4190	1.2944084028421379	1.0	0.9995389626941211	99.9968276082439
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	3	3.9473684210526314	0.6588675372175025	YKL067W, YGL034C, YHR022C	13	747	4190	1.2944084028421379	1.0	0.9995389626941211	99.9968276082439
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	3	3.9473684210526314	0.6894270218459153	YKL067W, YGL034C, YHR022C	13	787	4190	1.2286189033330077	1.0	0.9993300800418751	99.99871525726205
GOTERM_MF_FAT	GO:0000166~nucleotide binding	3	3.9473684210526314	0.7633648480098814	YKL067W, YGL034C, YHR022C	13	897	4190	1.077952148186262	1.0	0.9975339781888434	99.9999063525567
SP_PIR_KEYWORDS	atp-binding	3	3.9473684210526314	0.9950291863515915	YKL067W, YGL034C, YHR022C	73	634	6448	0.41795946588306465	1.0	1.0	100.0
SP_PIR_KEYWORDS	nucleotide-binding	3	3.9473684210526314	0.998305333067049	YKL067W, YGL034C, YHR022C	73	731	6448	0.3624983602870903	1.0	1.0	100.0

Annotation Cluster 3	Enrichment Score: 0.10291114250066621
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0046872~metal ion binding	3	3.9473684210526314	0.7200761004367746	YGL258W, YKL067W, YER028C	13	830	4190	1.164967562557924	1.0	0.9991527728071079	99.99952770744962
GOTERM_MF_FAT	GO:0043169~cation binding	3	3.9473684210526314	0.7335616858854512	YGL258W, YKL067W, YER028C	13	850	4190	1.137556561085973	1.0	0.998657286408644	99.99970645026531
GOTERM_MF_FAT	GO:0043167~ion binding	3	3.9473684210526314	0.7342232582739339	YGL258W, YKL067W, YER028C	13	851	4190	1.1362198318720058	1.0	0.997578033907719	99.99971339575988
SP_PIR_KEYWORDS	cytoplasm	7	9.210526315789473	0.9993376634109445	YDL124W, YGL258W, YHL009C, YNL162W-A, YKL067W, YLR341W, YER028C	73	1397	6448	0.44259224757552873	1.0	1.0	100.0

