"geneNames"	"gene_soruce"	"SNP_NUM"	"nsSNP"
"YDL174C"	"gene from yeastGEM"	7670	"348"
"YEL039C"	"gene from yeastGEM"	820	"10"
"YJR048W"	"gene from yeastGEM"	61	"22"
"YEL071W"	"gene from yeastGEM"	4357	"1034"
"YDL178W"	"gene from yeastGEM"	5731	"259"
"YAL060W"	"gene from yeastGEM"	13225	"3220"
"YML054C"	"gene from yeastGEM"	5771	"188"
"YGR032W"	"gene from yeastGEM"	15690	"4537"
"YLR342W"	"gene from yeastGEM"	43359	"8186"
"YCR034W"	"gene from yeastGEM"	1203	"56"
"YLR372W"	"gene from yeastGEM"	1038	"586"
"YGR143W"	"gene from yeastGEM"	3559	"1393"
"YPR159W"	"gene from yeastGEM"	3246	"965"
"YIL020C"	"gene from yeastGEM"	1049	"412"
"YHR037W"	"gene from yeastGEM"	5266	"1847"
"YEL038W"	"gene from yeastGEM"	7697	"3993"
"YMR009W"	"gene from yeastGEM"	3374	"189"
"YOL066C"	"gene from yeastGEM"	7884	"1928"
"YBR153W"	"gene from yeastGEM"	6344	"2575"
"YCL009C"	"gene from yeastGEM"	2680	"1173"
"YMR108W"	"gene from yeastGEM"	3984	"494"
"YNL256W"	"gene from yeastGEM"	6132	"2445"
"YER152C"	"gene from yeastGEM"	4265	"762"
"YGL202W"	"gene from yeastGEM"	4872	"1096"
"YJL060W"	"gene from yeastGEM"	6047	"754"
"YHR063C"	"gene from yeastGEM"	3083	"527"
"YDR035W"	"gene from yeastGEM"	2196	"192"
"YBR249C"	"gene from yeastGEM"	2329	"235"
"YDR204W"	"gene from yeastGEM"	1630	"453"
"YGL119W"	"gene from yeastGEM"	4243	"797"
"YGR255C"	"gene from yeastGEM"	5540	"747"
"YLR201C"	"gene from yeastGEM"	2179	"432"
"YML110C"	"gene from yeastGEM"	4323	"1895"
"YOL096C"	"gene from yeastGEM"	6765	"1823"
"YOR125C"	"gene from yeastGEM"	3113	"1052"
"YGL009C"	"gene from yeastGEM"	5769	"2721"
"YNL104C"	"gene from yeastGEM"	6447	"1049"
"YOR108W"	"gene from yeastGEM"	8410	"1645"
"YHR208W"	"gene from yeastGEM"	3016	"55"
"YJR148W"	"gene from yeastGEM"	6003	"2191"
"YHR137W"	"gene from yeastGEM"	5507	"2678"
"YDR234W"	"gene from yeastGEM"	3849	"2562"
"YPR001W"	"gene from yeastGEM"	2184	"1084"
"YOL064C"	"gene from yeastGEM"	7741	"1281"
"YGL248W"	"gene from yeastGEM"	3428	"635"
"YOR360C"	"gene from yeastGEM"	1794	"381"
"YDR487C"	"gene from yeastGEM"	853	"103"
"YDR127W"	"gene from yeastGEM"	7598	"3068"
"YBR265W"	"gene from yeastGEM"	2169	"473"
"YPL252C"	"gene from yeastGEM"	473	"292"
"YDR376W"	"gene from yeastGEM"	3769	"2004"
"YDR538W"	"gene from yeastGEM"	6258	"2330"
"YDR539W"	"gene from yeastGEM"	2550	"488"
"YLR231C"	"gene from yeastGEM"	5161	"333"
