"locus"	"pdbid"	"qstart2"	"qend2"	"sstart2"	"send2"	"strain_type"	"p_value"
"YER061C"	"3_439_4r8e.1.A_5b3b90003b85d17a599ba0f5"	"NA"	"NA"	3	439	"Wild"	"0.5498"
"YLR359W"	"1_476_5vkw.1.A_5b3d1a5d9ffd1273b2e6e225"	"NA"	"NA"	1	476	"Wild"	"0.3335"
"YLR359W"	"3_478_5nx9.1.A_5b3d1a5d9ffd1273b2e6e220"	"NA"	"NA"	3	478	"Wild"	"0.3432"
"YNR067C"	"401_1106_4k35.1.A_5b48e1c1732c1ee0700f871b"	"NA"	"NA"	401	1106	"Wild"	"0.9933"
"YNR067C"	"399_1115_5xbz.1.A_5b48e1c1732c1ee0700f8717"	"NA"	"NA"	399	1115	"Wild"	"0.9991"
"YJL121C"	"6_234_3ovp.1.B_5b3d82ebd60c599872db60f0"	"NA"	"NA"	6	234	"Wild"	"0.5096"
"YML004C"	"25_320_5d7z.1.A_5b3ac4c11a200b7f94e660f2"	"NA"	"NA"	25	320	"Wild"	"0.6864"
"YML004C"	"6_165_4x2a.1.A_5b3ac4c11a200b7f94e660ee"	"NA"	"NA"	6	165	"Wild"	"0.5207"
"YMR217W"	"12_525_2vxo.1.A_5b3dbe138fd6f9803ef0d315"	"NA"	"NA"	12	525	"Wild"	"0.1727"
"YMR217W"	"12_525_5tw7.1.A_5b3dbe138fd6f9803ef0d311"	"NA"	"NA"	12	525	"Wild"	"0.2014"
"YIL099W"	"72_545_1ayx.1.A_5b3e78761a200b9eb2cf7d72"	"NA"	"NA"	72	545	"Wild"	"0.8478"
"YER023W"	"2_281_5bse.1.A_5b3ba07f9ffd12cdd1d61d5c"	"NA"	"NA"	2	281	"Wild"	"NA"
"YBL039C"	"1_271_3ihl.1.B_5b3f3bcb3b85d1cfbf8d236e"	"NA"	"NA"	1	271	"Wild"	"NA"
"YBL039C"	"1_559_1vco.1.A_5b3f3bcb3b85d1cfbf8d2369"	"NA"	"NA"	1	559	"Wild"	"0.0433"
"YDR487C"	"1_208_1tks.1.A_5b3f18019ffd124a5051d44d"	"NA"	"NA"	1	208	"Wild"	"0.2206"
"YOL066C"	"434_582_3ex8.1.C_5b3f80fa9ffd129a40d03f72"	"NA"	"NA"	434	582	"Wild"	"0.0567"
"YOR286W"	"28_145_3d1p.1.A_5b430311d60c59e04b28855b"	"NA"	"NA"	28	145	"Wild"	"0.2278"
