gene	domain_start	domain_end	domain_name	domain_decription	type	e_value	pdb_id
YMR084W	79	203	PF13522	GATase_6	Domain	2.20E-11	1gph.1.A
YDR204W	84	305	PF05019	Coq4	Family	9.80E-90	NA
YJR048W	9	106	PF00034	Cytochrom_C	Domain	2.00E-08	5kpf
YJR048W	9	106	PF00034	Cytochrom_C	Domain	2.00E-08	5t7h
YJR048W	9	106	PF00034	Cytochrom_C	Domain	2.00E-08	5cif
YJR048W	9	106	PF00034	Cytochrom_C	Domain	2.00E-08	4n0k
YJR048W	9	106	PF00034	Cytochrom_C	Domain	2.00E-08	5klu
YJR048W	9	106	PF00034	Cytochrom_C	Domain	2.00E-08	1cri
YJR048W	9	106	PF00034	Cytochrom_C	Domain	2.00E-08	4qao
YEL039C	13	109	PF00034	Cytochrom_C	Domain	1.00E-06	1yeb
YEL039C	13	109	PF00034	Cytochrom_C	Domain	1.00E-06	1yea
YFR033C	76	147	PF02320	UCR_hinge	Family	6.60E-19	3cxh
YFR033C	76	147	PF02320	UCR_hinge	Family	6.60E-19	1ezv
YDR529C	20	117	PF02271	UCR_14kD	Family	5.30E-36	3cxh
YDR529C	20	117	PF02271	UCR_14kD	Family	5.30E-36	1ezv
YDR529C	20	117	PF02271	UCR_14kD	Family	5.30E-36	2ibz
Q0105	259	360	PF00032	Cytochrom_B_C	Domain	9.30E-32	3cxh
Q0105	18	204	PF00033	Cytochrome_B	Domain	3.00E-70	3cxh
YML054C	92	162	PF00173	Cyt-b5	Domain	3.10E-19	1ltd
YML054C	92	162	PF00173	Cyt-b5	Domain	3.10E-19	3ks0
YML054C	92	162	PF00173	Cyt-b5	Domain	3.10E-19	1kbi
YML054C	212	559	PF01070	FMN_dh	Domain	2.20E-118	1ltd
YML054C	212	559	PF01070	FMN_dh	Domain	2.20E-118	1kbj
YML054C	212	559	PF01070	FMN_dh	Domain	2.20E-118	1qcw
YML054C	212	559	PF01070	FMN_dh	Domain	2.20E-118	1kbi
YOL086C	182	310	PF00107	ADH_zinc_N	Family	4.60E-23	5env
YOL086C	32	137	PF08240	ADH_N	Domain	1.10E-25	5env
YMR303C	182	310	PF00107	ADH_zinc_N	Family	4.70E-24	5yat.1.A
YMR303C	31	137	PF08240	ADH_N	Domain	3.80E-26	5yat.1.A
YJR009C	2	102	PF00044	Gp_dh_N	Domain	2.60E-35	3pym.1.A
YJR009C	155	312	PF02800	Gp_dh_C	Domain	8.40E-69	3pym.1.A
YGR192C	2	102	PF00044	Gp_dh_N	Domain	1.00E-34	4iq8
YGR192C	155	312	PF02800	Gp_dh_C	Domain	5.10E-69	4iq8
YJL052W	2	102	PF00044	Gp_dh_N	Domain	5.80E-35	3pym.1.A
YJL052W	155	312	PF02800	Gp_dh_C	Domain	4.60E-68	3pym.1.A
Q0045	13	460	PF00115	COX1	Family	4.00E-141	3abm.1.A
Q0250	115	239	PF00116	COX2	Domain	1.50E-55	5j4z.74.A
Q0250	17	103	PF02790	COX2_TM	Family	2.30E-30	NA
Q0275	12	268	PF00510	COX3	Family	1.50E-120	1qle.1.C
YNL052W	23	149	PF02936	COX4	Family	4.50E-30	NA
YIL111W	21	147	PF02936	COX4	Family	1.50E-30	NA
YHR051W	46	144	PF02284	COX5A	Domain	6.60E-37	5iy5.2.E
YKR066C	104	321	PF00141	peroxidase	Domain	7.80E-39	4xva
YKR066C	104	321	PF00141	peroxidase	Domain	7.80E-39	1dse
YKR066C	104	321	PF00141	peroxidase	Domain	7.80E-39	2cyp
YKR066C	104	321	PF00141	peroxidase	Domain	7.80E-39	2v23
YKR066C	104	321	PF00141	peroxidase	Domain	7.80E-39	1ccc
YKR066C	104	321	PF00141	peroxidase	Domain	7.80E-39	1aef
YJR104C	12	150	PF00080	Sod_Cu	Domain	4.20E-45	1f1g
YJR104C	12	150	PF00080	Sod_Cu	Domain	4.20E-45	1b4l
YHR008C	29	115	PF00081	Sod_Fe_N	Domain	2.30E-21	3lsu.1.A
YHR008C	29	115	PF00081	Sod_Fe_N	Domain	2.30E-21	3rn4
YHR008C	29	115	PF00081	Sod_Fe_N	Domain	2.30E-21	4f6e
YHR008C	29	115	PF00081	Sod_Fe_N	Domain	2.30E-21	4e4e
YHR008C	125	227	PF02777	Sod_Fe_C	Domain	1.10E-30	3lsu.1.A
YHR008C	125	227	PF02777	Sod_Fe_C	Domain	1.10E-30	3rn4
YHR008C	125	227	PF02777	Sod_Fe_C	Domain	1.10E-30	4f6e
YHR008C	125	227	PF02777	Sod_Fe_C	Domain	1.10E-30	4e4e
YER055C	58	218	PF01634	HisG	Family	1.50E-48	1nh8.1.A
YER055C	222	294	PF08029	HisG_C	Domain	2.40E-23	1nh8.1.A
YAL038W	19	362	PF00224	PK	Family	4.70E-167	1a3w.1.A
YAL038W	19	362	PF00224	PK	Family	4.70E-167	1a3w
YAL038W	380	497	PF02887	PK_C	Domain	1.40E-29	1a3w.1.A
YAL038W	380	497	PF02887	PK_C	Domain	1.40E-29	1a3w
YCR012W	9	404	PF00162	PGK	Domain	3.90E-148	1qpg
YJR057W	10	196	PF02223	Thymidylate_kin	Domain	2.60E-52	2tmk
YBR093C	65	399	PF00328	His_Phos_2	Family	2.40E-44	2gfi.1.A
YIL162W	32	336	PF00251	Glyco_hydro_32N	Domain	3.30E-87	4eqv
YIL162W	371	507	PF08244	Glyco_hydro_32C	Domain	9.00E-12	4eqv
YPL111W	15	327	PF00491	Arginase	Domain	4.30E-72	4ity.1.A
YCL030C	375	788	PF00815	Histidinol_dh	Family	2.10E-157	5vlb.1.A
YCL030C	166	238	PF01502	PRA-CH	Family	2.00E-23	NA
YCL030C	248	327	PF01503	PRA-PH	Family	1.50E-10	NA
YBR011C	46	228	PF00719	Pyrophosphatase	Domain	4.50E-55	117e
YBR011C	46	228	PF00719	Pyrophosphatase	Domain	4.50E-55	1huj
YBR011C	46	228	PF00719	Pyrophosphatase	Domain	4.50E-55	1m38.1.A
YBR011C	46	228	PF00719	Pyrophosphatase	Domain	4.50E-55	1m38
YJR121W	170	388	PF00006	ATP-synt_ab	Domain	1.20E-59	6cp3
YJR121W	170	388	PF00006	ATP-synt_ab	Domain	1.20E-59	4b2q
YJR121W	170	388	PF00006	ATP-synt_ab	Domain	1.20E-59	3oeh
YJR121W	170	388	PF00006	ATP-synt_ab	Domain	1.20E-59	2xok.1.D
YJR121W	170	388	PF00006	ATP-synt_ab	Domain	1.20E-59	2xok
YJR121W	46	113	PF02874	ATP-synt_ab_N	Domain	1.80E-20	6cp3
YJR121W	46	113	PF02874	ATP-synt_ab_N	Domain	1.80E-20	4b2q
YJR121W	46	113	PF02874	ATP-synt_ab_N	Domain	1.80E-20	3oeh
YJR121W	46	113	PF02874	ATP-synt_ab_N	Domain	1.80E-20	2xok.1.D
YJR121W	46	113	PF02874	ATP-synt_ab_N	Domain	1.80E-20	2xok
Q0085	41	252	PF00119	ATP-synt_A	Domain	8.00E-41	6cp7
Q0080	1	48	PF05933	Fun_ATP-synt_8	Family	1.90E-22	6cp7
YNR001C	83	461	PF00285	Citrate_synt	Domain	5.10E-98	1al6.1.A
YER090W	230	485	PF00425	Chorismate_bind	Family	4.20E-85	5kck.1.A
YER090W	230	485	PF00425	Chorismate_bind	Family	4.20E-85	5cwa.1.A
YER090W	39	173	PF04715	Anth_synt_I_N	Family	2.10E-27	5kck.1.A
YER090W	39	173	PF04715	Anth_synt_I_N	Family	2.10E-27	5cwa.1.A
YDR007W	25	221	PF00697	PRAI	Domain	9.90E-64	1nsj.1.A
YGR254W	145	432	PF00113	Enolase_C	Domain	3.30E-147	1ebg
YGR254W	3	134	PF03952	Enolase_N	Domain	1.60E-52	1ebg
YHR174W	145	432	PF00113	Enolase_C	Domain	5.00E-146	1ebh.1.A
YHR174W	3	134	PF03952	Enolase_N	Domain	2.30E-52	1ebh.1.A
YER086W	76	347	PF00291	PALP	Family	9.80E-75	1tdj.1.A
YER086W	486	574	PF00585	Thr_dehydrat_C	Domain	2.00E-25	1tdj.1.A
YER086W	383	480	PF00585	Thr_dehydrat_C	Domain	1.10E-07	1tdj.1.A
YGL026C	9	259	PF00290	Trp_syntA	Domain	6.30E-100	5kmy.1.A
YGL026C	349	675	PF00291	PALP	Family	7.70E-43	5dw3.2.A
YKL211C	15	197	PF00117	GATase	Domain	5.60E-49	1gpm.1.A
YKL211C	217	482	PF00218	IGPS	Domain	7.40E-97	4fb7.1.A
YKL211C	217	482	PF00218	IGPS	Domain	7.40E-97	6bma.1.A
YDR050C	6	244	PF00121	TIM	Domain	5.50E-86	3ypi
YDR050C	6	244	PF00121	TIM	Domain	5.50E-86	4ff7
YKL152C	4	210	PF00300	His_Phos_1	Domain	9.90E-31	1bq3
YKL152C	4	210	PF00300	His_Phos_1	Domain	9.90E-31	1qhf.1.A
YKL152C	4	210	PF00300	His_Phos_1	Domain	9.90E-31	1qhf
YGR264C	198	589	PF09334	tRNA-synt_1g	Family	3.50E-153	5gl7.1.A
YGR264C	11	132	PF09635	MetRS-N	Domain	1.10E-51	2hsn
YEL021W	30	251	PF00215	OMPdecase	Domain	3.00E-72	3gdl
YEL021W	30	251	PF00215	OMPdecase	Domain	3.00E-72	3gdl.1.A
YJR109C	984	1071	PF02142	MGS	Domain	0.026	1bxr.1.A
YJR109C	984	1071	PF02142	MGS	Domain	0.026	5dou.1.A
YJR109C	984	1071	PF02142	MGS	Domain	0.026	5dot.1.A
YJR109C	149	352	PF02786	CPSase_L_D2	Domain	1.20E-79	1bxr.1.A
YJR109C	149	352	PF02786	CPSase_L_D2	Domain	1.20E-79	5dou.1.A
YJR109C	149	352	PF02786	CPSase_L_D2	Domain	1.20E-79	5dot.1.A
YJR109C	694	891	PF02786	CPSase_L_D2	Domain	4.40E-22	1bxr.1.A
YJR109C	694	891	PF02786	CPSase_L_D2	Domain	4.40E-22	5dou.1.A
YJR109C	694	891	PF02786	CPSase_L_D2	Domain	4.40E-22	5dot.1.A
YJR109C	439	567	PF02787	CPSase_L_D3	Domain	4.20E-36	1bxr.1.A
YJR109C	439	567	PF02787	CPSase_L_D3	Domain	4.20E-36	5dou.1.A
YJR109C	439	567	PF02787	CPSase_L_D3	Domain	4.20E-36	5dot.1.A
YGL187C	31	155	PF01215	COX5B	Domain	1.10E-62	NA
YLR395C	9	74	PF02935	COX7C	Family	6.10E-19	NA
YMR300C	287	401	PF00156	Pribosyltran	Domain	1.70E-06	1ecb.3.C
YMR300C	68	168	PF13522	GATase_6	Domain	2.70E-09	1ecb.3.C
YDL140C	342	507	PF00623	RNA_pol_Rpb1_2	Domain	3.50E-74	1i3q
YDL140C	342	507	PF00623	RNA_pol_Rpb1_2	Domain	3.50E-74	4a3j
YDL140C	342	507	PF00623	RNA_pol_Rpb1_2	Domain	3.50E-74	3j1n
YDL140C	342	507	PF00623	RNA_pol_Rpb1_2	Domain	3.50E-74	5x50.1.A
YDL140C	342	507	PF00623	RNA_pol_Rpb1_2	Domain	3.50E-74	5ip9
YDL140C	510	669	PF04983	RNA_pol_Rpb1_3	Domain	1.60E-43	1i3q
YDL140C	510	669	PF04983	RNA_pol_Rpb1_3	Domain	1.60E-43	4a3j
YDL140C	510	669	PF04983	RNA_pol_Rpb1_3	Domain	1.60E-43	3j1n
YDL140C	510	669	PF04983	RNA_pol_Rpb1_3	Domain	1.60E-43	5x50.1.A
YDL140C	510	669	PF04983	RNA_pol_Rpb1_3	Domain	1.60E-43	5ip9
YDL140C	1141	1274	PF04990	RNA_pol_Rpb1_7	Domain	4.50E-43	1i3q
YDL140C	1141	1274	PF04990	RNA_pol_Rpb1_7	Domain	4.50E-43	4a3j
YDL140C	1141	1274	PF04990	RNA_pol_Rpb1_7	Domain	4.50E-43	3j1n
YDL140C	1141	1274	PF04990	RNA_pol_Rpb1_7	Domain	4.50E-43	5x50.1.A
YDL140C	1141	1274	PF04990	RNA_pol_Rpb1_7	Domain	4.50E-43	5ip9
YDL140C	873	1056	PF04992	RNA_pol_Rpb1_6	Domain	5.10E-60	1i3q
YDL140C	873	1056	PF04992	RNA_pol_Rpb1_6	Domain	5.10E-60	4a3j
YDL140C	873	1056	PF04992	RNA_pol_Rpb1_6	Domain	5.10E-60	3j1n
YDL140C	873	1056	PF04992	RNA_pol_Rpb1_6	Domain	5.10E-60	5x50.1.A
YDL140C	873	1056	PF04992	RNA_pol_Rpb1_6	Domain	5.10E-60	5ip9
YDL140C	12	340	PF04997	RNA_pol_Rpb1_1	Domain	7.00E-111	1i3q
YDL140C	12	340	PF04997	RNA_pol_Rpb1_1	Domain	7.00E-111	4a3j
YDL140C	12	340	PF04997	RNA_pol_Rpb1_1	Domain	7.00E-111	3j1n
YDL140C	12	340	PF04997	RNA_pol_Rpb1_1	Domain	7.00E-111	5x50.1.A
YDL140C	12	340	PF04997	RNA_pol_Rpb1_1	Domain	7.00E-111	5ip9
YDL140C	807	1396	PF04998	RNA_pol_Rpb1_5	Domain	1.10E-103	1i3q
YDL140C	807	1396	PF04998	RNA_pol_Rpb1_5	Domain	1.10E-103	4a3j
YDL140C	807	1396	PF04998	RNA_pol_Rpb1_5	Domain	1.10E-103	3j1n
YDL140C	807	1396	PF04998	RNA_pol_Rpb1_5	Domain	1.10E-103	5x50.1.A
YDL140C	807	1396	PF04998	RNA_pol_Rpb1_5	Domain	1.10E-103	5ip9
YDL140C	695	800	PF05000	RNA_pol_Rpb1_4	Domain	1.10E-31	1i3q
YDL140C	695	800	PF05000	RNA_pol_Rpb1_4	Domain	1.10E-31	4a3j
YDL140C	695	800	PF05000	RNA_pol_Rpb1_4	Domain	1.10E-31	3j1n
YDL140C	695	800	PF05000	RNA_pol_Rpb1_4	Domain	1.10E-31	5x50.1.A
YDL140C	695	800	PF05000	RNA_pol_Rpb1_4	Domain	1.10E-31	5ip9
YDL140C	1550	1563	PF05001	RNA_pol_Rpb1_R	Repeat	43	1i3q
YDL140C	1550	1563	PF05001	RNA_pol_Rpb1_R	Repeat	43	4a3j
YDL140C	1550	1563	PF05001	RNA_pol_Rpb1_R	Repeat	43	5ip9
YDL140C	1690	1703	PF05001	RNA_pol_Rpb1_R	Repeat	52	1i3q
YDL140C	1690	1703	PF05001	RNA_pol_Rpb1_R	Repeat	52	4a3j
YDL140C	1690	1703	PF05001	RNA_pol_Rpb1_R	Repeat	52	5ip9
YDL140C	1704	1717	PF05001	RNA_pol_Rpb1_R	Repeat	54	1i3q
YDL140C	1704	1717	PF05001	RNA_pol_Rpb1_R	Repeat	54	4a3j
YDL140C	1704	1717	PF05001	RNA_pol_Rpb1_R	Repeat	54	5ip9
YDL140C	1648	1661	PF05001	RNA_pol_Rpb1_R	Repeat	1.30E+02	1i3q
YDL140C	1648	1661	PF05001	RNA_pol_Rpb1_R	Repeat	1.30E+02	4a3j
YDL140C	1648	1661	PF05001	RNA_pol_Rpb1_R	Repeat	1.30E+02	5ip9
YDL140C	1676	1689	PF05001	RNA_pol_Rpb1_R	Repeat	6.20E+02	1i3q
YDL140C	1676	1689	PF05001	RNA_pol_Rpb1_R	Repeat	6.20E+02	4a3j
YDL140C	1676	1689	PF05001	RNA_pol_Rpb1_R	Repeat	6.20E+02	5ip9
YDL140C	1634	1647	PF05001	RNA_pol_Rpb1_R	Repeat	6.60E+02	1i3q
YDL140C	1634	1647	PF05001	RNA_pol_Rpb1_R	Repeat	6.60E+02	4a3j
YDL140C	1634	1647	PF05001	RNA_pol_Rpb1_R	Repeat	6.60E+02	5ip9
YDL140C	1634	1647	PF05001	RNA_pol_Rpb1_R	Repeat	6.60E+02	4gwq
YDL140C	1578	1591	PF05001	RNA_pol_Rpb1_R	Repeat	6.90E+02	1i3q
YDL140C	1578	1591	PF05001	RNA_pol_Rpb1_R	Repeat	6.90E+02	4a3j
YDL140C	1578	1591	PF05001	RNA_pol_Rpb1_R	Repeat	6.90E+02	5ip9
YDL140C	1592	1605	PF05001	RNA_pol_Rpb1_R	Repeat	7.20E+02	1i3q
YDL140C	1592	1605	PF05001	RNA_pol_Rpb1_R	Repeat	7.20E+02	4a3j
YDL140C	1592	1605	PF05001	RNA_pol_Rpb1_R	Repeat	7.20E+02	5ip9
YDL140C	1662	1675	PF05001	RNA_pol_Rpb1_R	Repeat	6.90E+02	1i3q
YDL140C	1662	1675	PF05001	RNA_pol_Rpb1_R	Repeat	6.90E+02	4a3j
YDL140C	1662	1675	PF05001	RNA_pol_Rpb1_R	Repeat	6.90E+02	5ip9
YDL140C	1564	1577	PF05001	RNA_pol_Rpb1_R	Repeat	7.70E+02	1i3q
YDL140C	1564	1577	PF05001	RNA_pol_Rpb1_R	Repeat	7.70E+02	4a3j
YDL140C	1564	1577	PF05001	RNA_pol_Rpb1_R	Repeat	7.70E+02	5ip9
YDL140C	1606	1619	PF05001	RNA_pol_Rpb1_R	Repeat	7.30E+02	1i3q
YDL140C	1606	1619	PF05001	RNA_pol_Rpb1_R	Repeat	7.30E+02	4a3j
YDL140C	1606	1619	PF05001	RNA_pol_Rpb1_R	Repeat	7.30E+02	5ip9
YDL140C	1620	1633	PF05001	RNA_pol_Rpb1_R	Repeat	7.30E+02	1i3q
YDL140C	1620	1633	PF05001	RNA_pol_Rpb1_R	Repeat	7.30E+02	4a3j
YDL140C	1620	1633	PF05001	RNA_pol_Rpb1_R	Repeat	7.30E+02	5ip9
YDL140C	1620	1633	PF05001	RNA_pol_Rpb1_R	Repeat	7.30E+02	4gwq
YOR116C	370	537	PF00623	RNA_pol_Rpb1_2	Domain	1.20E-72	6eu1.1.A
YOR116C	370	537	PF00623	RNA_pol_Rpb1_2	Domain	1.20E-72	6eu1
YOR116C	540	717	PF04983	RNA_pol_Rpb1_3	Domain	2.30E-35	6eu1.1.A
YOR116C	540	717	PF04983	RNA_pol_Rpb1_3	Domain	2.30E-35	6eu1
YOR116C	11	368	PF04997	RNA_pol_Rpb1_1	Domain	4.90E-76	6eu1.1.A
YOR116C	11	368	PF04997	RNA_pol_Rpb1_1	Domain	4.90E-76	6eu1
YOR116C	855	1382	PF04998	RNA_pol_Rpb1_5	Domain	2.80E-79	6eu1.1.A
YOR116C	855	1382	PF04998	RNA_pol_Rpb1_5	Domain	2.80E-79	6eu1
YOR116C	744	848	PF05000	RNA_pol_Rpb1_4	Domain	7.30E-27	6eu1.1.A
YOR116C	744	848	PF05000	RNA_pol_Rpb1_4	Domain	7.30E-27	6eu1
YHR018C	11	307	PF00206	Lyase_1	Domain	3.40E-93	NA
YHR018C	370	438	PF14698	ASL_C2	Domain	3.10E-18	1hy0.1.A
YDR408C	3	205	PF00551	Formyl_trans_N	Domain	1.20E-60	1zly.1.A
YCL018W	6	355	PF00180	Iso_dh	Domain	2.50E-122	3udo.1.A
YBR020W	156	225	PF00288	GHMP_kinases_N	Family	8.10E-13	2aj4
YBR020W	156	225	PF00288	GHMP_kinases_N	Family	8.10E-13	2aj4.1.A
YBR020W	156	225	PF00288	GHMP_kinases_N	Family	8.10E-13	3v5r.1.A
YBR020W	423	498	PF08544	GHMP_kinases_C	Family	1.30E-08	2aj4
YBR020W	423	498	PF08544	GHMP_kinases_C	Family	1.30E-08	2aj4.1.A
YBR020W	423	498	PF08544	GHMP_kinases_C	Family	1.30E-08	3v5r.1.A
YBR020W	35	82	PF10509	GalKase_gal_bdg	Domain	1.50E-17	2aj4
YBR020W	35	82	PF10509	GalKase_gal_bdg	Domain	1.50E-17	2aj4.1.A
YBR020W	35	82	PF10509	GalKase_gal_bdg	Domain	1.50E-17	3v5r.1.A
YBR019C	376	697	PF01263	Aldose_epim	Family	3.80E-77	1z45
YBR019C	376	697	PF01263	Aldose_epim	Family	3.80E-77	1z45.1.A
YBR019C	15	343	PF16363	GDP_Man_Dehyd	Domain	5.60E-53	1z45
YBR019C	15	343	PF16363	GDP_Man_Dehyd	Domain	5.60E-53	1z45.1.A
YMR056C	116	210	PF00153	Mito_carr	Family	4.10E-21	4c9g.1.A
YMR056C	10	106	PF00153	Mito_carr	Family	2.00E-19	NA
YMR056C	217	304	PF00153	Mito_carr	Family	1.80E-14	NA
YIL078W	404	616	PF00587	tRNA-synt_2b	Domain	5.60E-33	1nyq.1.B
YIL078W	76	133	PF02824	TGS	Family	3.10E-12	1nyq.1.B
YIL078W	76	133	PF02824	TGS	Family	3.10E-12	4v1a.1.C
YIL078W	629	722	PF03129	HGTP_anticodon	Domain	2.00E-18	1nyq.1.B
YIL078W	257	305	PF07973	tRNA_SAD	Domain	2.90E-09	1nyq.1.B
YIL078W	257	305	PF07973	tRNA_SAD	Domain	2.90E-09	4v1a.1.C
YLL018C	229	551	PF00152	tRNA-synt_2	Domain	1.70E-72	1asy
YLL018C	229	551	PF00152	tRNA-synt_2	Domain	1.70E-72	1eov
YLL018C	229	551	PF00152	tRNA-synt_2	Domain	1.70E-72	1asy.1.D
YLL018C	229	551	PF00152	tRNA-synt_2	Domain	1.70E-72	1g51.1.A
YLL018C	109	196	PF01336	tRNA_anti-codon	Domain	0.00066	1asy
YLL018C	109	196	PF01336	tRNA_anti-codon	Domain	0.00066	1eov
YLL018C	109	196	PF01336	tRNA_anti-codon	Domain	0.00066	1asy.1.D
YLL018C	109	196	PF01336	tRNA_anti-codon	Domain	0.00066	1g51.1.A
YDR268W	32	334	PF00579	tRNA-synt_1b	Family	1.20E-84	NA
YFR053C	27	221	PF00349	Hexokinase_1	Domain	1.30E-66	3b8a
YFR053C	27	221	PF00349	Hexokinase_1	Domain	1.30E-66	3b8a.1.A
YFR053C	227	468	PF03727	Hexokinase_2	Domain	6.80E-76	3b8a
YFR053C	227	468	PF03727	Hexokinase_2	Domain	6.80E-76	3b8a.1.A
YGL253W	27	221	PF00349	Hexokinase_1	Domain	1.30E-64	1ig8.1.A
YGL253W	27	221	PF00349	Hexokinase_1	Domain	1.30E-64	1ig8
YGL253W	227	469	PF03727	Hexokinase_2	Domain	1.90E-74	1ig8.1.A
YGL253W	227	469	PF03727	Hexokinase_2	Domain	1.90E-74	1ig8
YEL063C	92	554	PF00324	AA_permease	Family	2.40E-141	NA
YDL164C	393	598	PF01068	DNA_ligase_A_M	Domain	2.80E-63	3gde.1.A
YDL164C	147	323	PF04675	DNA_ligase_A_N	Family	1.20E-42	3gde.1.A
YDL164C	623	732	PF04679	DNA_ligase_A_C	Family	3.60E-21	NA
YGL008C	175	356	PF00122	E1-E2_ATPase	Family	3.40E-45	4xe5.1.A
YGL008C	78	135	PF00690	Cation_ATPase_N	Domain	1.50E-07	4xe5.1.A
YGL008C	374	646	PF00702	Hydrolase	Domain	1.10E-15	4xe5.1.A
YJL088W	174	324	PF00185	OTCace	Domain	9.50E-45	3sds.1.A
YJL088W	12	158	PF02729	OTCace_N	Domain	1.70E-37	3sds.1.A
YBR021W	103	562	PF02133	Transp_cyt_pur	Family	3.80E-179	NA
YGL040C	22	337	PF00490	ALAD	Domain	4.30E-115	1h7o
YGL040C	22	337	PF00490	ALAD	Domain	4.30E-115	1h7p
YGL040C	22	337	PF00490	ALAD	Domain	4.30E-115	1eb3
YGR157W	471	578	PF04191	PEMT	Family	8.50E-31	5v7p.1.A
YGR157W	219	321	PF04191	PEMT	Family	1.00E-20	5v7p.1.A
YJR073C	100	199	PF04191	PEMT	Family	4.10E-33	NA
YPL078C	75	237	PF05405	Mt_ATP-synt_B	Family	3.40E-55	5fil.1.S
YPL078C	75	237	PF05405	Mt_ATP-synt_B	Family	3.40E-55	6cp7
YER091C	439	759	PF01717	Meth_synt_2	Domain	7.30E-148	4qqu.1.A
YER091C	4	322	PF08267	Meth_synt_1	Domain	8.90E-113	4qqu.1.A
YLR303W	6	436	PF01053	Cys_Met_Meta_PP	Domain	6.20E-147	4oc9.1.A
YLR303W	6	436	PF01053	Cys_Met_Meta_PP	Domain	6.20E-147	5ijg.1.B
YGR088W	18	417	PF00199	Catalase	Domain	8.90E-164	2xq1.1.A
YGR088W	18	417	PF00199	Catalase	Domain	8.90E-164	1a4e.1.A
YGR088W	481	539	PF06628	Catalase-rel	Family	3.80E-07	2xq1.1.A
YGR088W	481	539	PF06628	Catalase-rel	Family	3.80E-07	1a4e.1.A
YLR355C	248	392	PF01450	IlvC	Family	2.60E-37	3ulk.2.A
YLR355C	248	392	PF01450	IlvC	Family	2.60E-37	6aqj.1.A
YLR355C	248	392	PF01450	IlvC	Family	2.60E-37	3fr7.1.A
YLR355C	75	240	PF07991	IlvN	Family	6.50E-42	3ulk.2.A
YLR355C	75	240	PF07991	IlvN	Family	6.50E-42	6aqj.1.A
YLR355C	75	240	PF07991	IlvN	Family	6.50E-42	3fr7.1.A
YLR044C	201	324	PF00205	TPP_enzyme_M	Domain	1.70E-34	2w93.1.B
YLR044C	201	324	PF00205	TPP_enzyme_M	Domain	1.70E-34	2vk1
YLR044C	201	324	PF00205	TPP_enzyme_M	Domain	1.70E-34	1pvd
YLR044C	201	324	PF00205	TPP_enzyme_M	Domain	1.70E-34	1pyd
YLR044C	401	505	PF02775	TPP_enzyme_C	Domain	2.70E-10	2w93.1.B
YLR044C	401	505	PF02775	TPP_enzyme_C	Domain	2.70E-10	2vk1
YLR044C	401	505	PF02775	TPP_enzyme_C	Domain	2.70E-10	1pvd
YLR044C	401	505	PF02775	TPP_enzyme_C	Domain	2.70E-10	1pyd
YLR044C	5	177	PF02776	TPP_enzyme_N	Domain	4.40E-29	2w93.1.B
YLR044C	5	177	PF02776	TPP_enzyme_N	Domain	4.40E-29	2vk1
YLR044C	5	177	PF02776	TPP_enzyme_N	Domain	4.40E-29	1pvd
YLR044C	5	177	PF02776	TPP_enzyme_N	Domain	4.40E-29	1pyd
YOR278W	22	265	PF02602	HEM4	Family	1.60E-44	1wd7.2.A
YOR278W	22	265	PF02602	HEM4	Family	1.60E-44	3rot.1.A
YOR278W	22	265	PF02602	HEM4	Family	1.60E-44	1jr2.2.A
YAL039C	1	253	PF01265	Cyto_heme_lyase	Family	6.30E-92	NA
YPR113W	19	81	PF01066	CDP-OH_P_transf	Family	7.00E-10	4o6m.1.A
YNL104C	61	342	PF00682	HMGL-like	Domain	2.00E-90	3hpz.1.A
YNL104C	456	594	PF08502	LeuA_dimer	Domain	4.50E-22	NA
YOR202W	57	200	PF00475	IGPD	Family	9.40E-59	6ezm.1.A
YOR202W	57	200	PF00475	IGPD	Family	9.40E-59	6ezm
YDL042C	262	478	PF02146	SIR2	Family	5.10E-64	2hjh
YDL042C	262	478	PF02146	SIR2	Family	5.10E-64	4iao.1.A
YDL042C	262	478	PF02146	SIR2	Family	5.10E-64	4iao
YDL042C	262	478	PF02146	SIR2	Family	5.10E-64	6flg.1.A
YDL042C	105	261	PF04574	DUF592	Family	7.00E-62	4iao.1.A
YDL042C	105	261	PF04574	DUF592	Family	7.00E-62	4iao
YPR160W	165	898	PF00343	Phosphorylase	Family	0	1ygp
YPR160W	165	898	PF00343	Phosphorylase	Family	0	1ygp.1.A
YHR144C	162	278	PF00383	dCMP_cyt_deam_1	Family	3.40E-24	NA
YGR191W	94	559	PF00324	AA_permease	Family	9.10E-136	NA
YOR360C	264	512	PF00233	PDEase_I	Domain	3.80E-46	NA
YOR074C	11	304	PF00303	Thymidylat_synt	Domain	4.90E-114	1f28.1.B
