UniProtKB_ac	locus	uniprot_seq_length	coordinate_id	provider	from	to	coverage	template	qmean	Seq_similarity	Seq_Identity	Resolution	Ligands	Oligo_State	GEMQE	Built_with	Method	Note
P47076	YJL011C	161	5a5bd605c730d4324f99a9f2	SWISSMODEL	1	160	0.99378882	2ckz.2.A	-1.832788199	0.59	99.38	3.2	"
"	monomer	0.71	PROMOD3 1.1.0	X-RAY	
P25441	YDL150W	422	59c98ab61405506a4858aded	SWISSMODEL	274	422	0.353080569	5fj9.1.A	-4.795203101	0.6	100	4.6	"UNK;ZN
"	MONOMER	0.14	PROMOD3 1.0.2	ELECTRON	the chainID is changed from N to A
P22138	YPR010C	1203	5b4f2c779ffd1292cb557f3e	SWISSMODEL	674	1097	0.352452203	4g7h.1.C	-3.728394258	0.38	35.68	2.9	"MG;ZN
"	monomer	0.17	PROMOD3 1.1.0	X-RAY	
P22138	YPR010C	1203	5b4f2c779ffd1292cb557f3a	SWISSMODEL	11	1203	0.991687448	5m5w.1.B	-2.261319176	0.61	100	3.8	"
"	monomer	0.98	PROMOD3 1.1.0	ELECTRON	
P33734	YBR248C	552	5b3e90241a200bc10444e4a6	SWISSMODEL	1	552	1	1jvn.1.A	0.740946182	0.61	100	2.1	"143;NI;POP;SO4
"	monomer	0.98	PROMOD3 1.1.0	X-RAY	
P49723	YGR180C	345	5b3a73031a200b0c31210a92	SWISSMODEL	3	325	0.936231884	1sms.1.A	-4.803904631	0.61	100	3.1	"
"	homo-dimer	0.94	PROMOD3 1.1.0	X-RAY	
P38913	YDL045C	306	5b3b2dc3a03a1b42a579b9e1	SWISSMODEL	1	304	0.993464052	2wsi.1.A	-1.445481795	0.62	100	1.9	"FAD;SO4
"	monomer	0.96	PROMOD3 1.1.0	X-RAY	
P21524	YER070W	888	5b4540163b85d197f048f3e2	SWISSMODEL	1	746	0.84009009	3paw.2.A	-4.487213624	0.61	100	6.61	"
"	homo-dimer	0.71	PROMOD3 1.1.0	X-RAY	
P21524	YER070W	888	5b4540163b85d197f048f3dd	SWISSMODEL	15	796	0.880630631	1zyz.3.C	-1.904805278	0.61	100	2.9	"
"	homo-tetramer	0.8	PROMOD3 1.1.0	X-RAY	
P38121	YBL035C	705	5b41f15d08cc8f2e30c701ce	SWISSMODEL	188	676	0.693617021	4y97.1.A	-3.878868186	0.33	24.29	2.51	"
"	monomer	0.43	PROMOD3 1.1.0	X-RAY	
P38121	YBL035C	705	5b41f15d08cc8f2e30c701ca	SWISSMODEL	201	673	0.670921986	4y97.1.A	-4.733461373	0.33	24.29	2.51	"
"	monomer	0.43	PROMOD3 1.1.0	X-RAY	
P38121	YBL035C	705	5b41f15d08cc8f2e30c701c6	SWISSMODEL	248	705	0.64964539	3flo.1.A	-0.611116282	0.6	100	2.5	"SO4;UNK;ZN
"	monomer	0.6	PROMOD3 1.1.0	X-RAY	
P36421	YGR185C	394	5b3ad765d60c59001d5f9339	SWISSMODEL	8	356	0.885786802	2dlc.1.B	-0.663067868	0.6	100	2.4	"1MA;2MG;5MC;5MU;6IA;H2U;M2G;MG;OMG;PSU;YMP
"	homo-dimer	0.83	PROMOD3 1.1.0	X-RAY	
P41903	YJR019C	349	5a7c2fcb7aaa0db42362c70b	SWISSMODEL	13	116	0.297994269	1tbu.1.B	-1.170017278	0.6	100	2.2	"
"	homo-tetramer	0.22	PROMOD3 1.1.0	X-RAY	
P54885	YOR323C	456	5b3c94b2a03a1b0f84bfe9e1	SWISSMODEL	1	435	0.953947368	1vlu.2.A	-0.523527913	0.6	100	2.29	"CL;MSE
"	homo-dimer	0.82	PROMOD3 1.1.0	X-RAY	
P54885	YOR323C	456	5b3c94b2a03a1b0f84bfe9dd	SWISSMODEL	2	426	0.932017544	4i1w.1.A	-4.643254176	0.28	18.39	1.99	"GOL;NAD
"	homo-tetramer	0.55	PROMOD3 1.1.0	X-RAY	
P53228	YGR043C	333	5b3aa92a9ffd125c5af2b82b	SWISSMODEL	12	333	0.966966967	3cq0.1.A	0.050443718	0.6	100	1.9	"EDO;GOL;PG4
"	homo-dimer	0.97	PROMOD3 1.1.0	X-RAY	
Q06892	YPL188W	414	5b3b1ab79ffd1256a5bcd1b6	SWISSMODEL	27	408	0.922705314	3afo.1.A	-1.037468132	0.61	100	2	"MPD;NAI
"	homo-tetramer	0.84	PROMOD3 1.1.0	X-RAY	
Q06489	YPR118W	411	5b3b12279ffd12c34fa3f944	SWISSMODEL	221	411	0.464720195	1w2w.1.B	0.721995676	0.61	100	1.75	"MSE;SO4
"	monomer	0.45	PROMOD3 1.1.0	X-RAY	
Q06489	YPR118W	411	5b3b12269ffd12c34fa3f940	SWISSMODEL	2	401	0.97323601	4ldr.1.A	-3.233316795	0.42	47.95	2.29	"
"	homo-dimer	0.65	PROMOD3 1.1.0	X-RAY	
P39104	YNL267W	1066	5b47603b1a200b978b7a5fd3	SWISSMODEL	700	1063	0.341463415	4bfr.1.A	-3.52522811	0.32	23.62	2.8	"
"	monomer	0.17	PROMOD3 1.1.0	X-RAY	
P39730	YAL035W	1002	5b46c0b88fd6f95d9d5dc34f	SWISSMODEL	402	1002	0.599800399	3wbk.1.A	-0.575733108	0.6	100	3.3	"
"	monomer	0.6	PROMOD3 1.1.0	X-RAY	
P39730	YAL035W	1002	5b46c0b88fd6f95d9d5dc34b	SWISSMODEL	402	1002	0.599800399	3wbk.2.A	-0.554415393	0.6	100	3.3	"
"	monomer	0.6	PROMOD3 1.1.0	X-RAY	
P39730	YAL035W	1002	5b46c0b78fd6f95d9d5dc347	SWISSMODEL	401	1002	0.600798403	3wbi.1.A	0.189035163	0.6	100	2.35	"
"	monomer	0.6	PROMOD3 1.1.0	X-RAY	
P49954	YLR351C	291	5b3b7c861a200bf063cf52d2	SWISSMODEL	2	282	0.965635739	1f89.1.A	-1.353553999	0.61	100	2.4	"
"	homo-dimer	0.96	PROMOD3 1.1.0	X-RAY	
P46151	YPL023C	657	5b40fa1d9ffd1242f674adb8	SWISSMODEL	2	655	0.99543379	6fcx.1.A	-4.787201249	0.39	36	2.5	"CIT;FAD;SAH
"	homo-dimer	0.64	PROMOD3 1.1.0	X-RAY	
P33312	YBR153W	244	5b3d6682732c1e179216d2ba	SWISSMODEL	8	242	0.963114754	4ha7.1.A	-2.350592136	0.61	100	2.1	"
"	homo-dimer	0.96	PROMOD3 1.1.0	X-RAY	
P17505	YKL085W	334	5b3aa33308cc8f413610d751	SWISSMODEL	18	333	0.946107784	1emd.1.A	-0.390562925	0.42	48.87	1.9	"CIT;NAD
"	homo-dimer	0.74	PROMOD3 1.1.0	X-RAY	
P07256	YBL045C	457	5b3c96a08fd6f9fb85183c47	SWISSMODEL	27	457	0.943107221	1kyo.1.A	-1.919948633	0.6	99.77	2.97	"FES;HEM;M3L;SMA
"	monomer	0.98	PROMOD3 1.1.0	X-RAY	
P32906	YJR131W	549	5b3e763b3b85d15b734778b9	SWISSMODEL	34	549	0.93989071	1dl2.1.A	-1.428957112	0.62	100	1.54	"BMA;CA;GOL;MAN;NAG;NDG
"	monomer	0.98	PROMOD3 1.1.0	X-RAY	
P53686	YPL015C	357	5b3a49cd1a200b0aa4dde924	SWISSMODEL	1	293	0.820728291	2od2.1.A	0.110737133	0.61	99.66	2	"ALY;CNA;GOL;ZN
"	monomer	0.79	PROMOD3 1.1.0	X-RAY	
P04051	YOR116C	1460	5b243ee8a52be78bca9a5684	SWISSMODEL	2	1452	0.993835616	6eu1.1.A	-4.586401863	0.6	100	3.4	"MG;ZN
"	monomer	0.97	PROMOD3 1.1.0	ELECTRON	
P07149	YKL182W	2051	5b24e53e573f2050d9c246ff	SWISSMODEL	5	2050	0.997562165	3hmj.1.D	-0.715697659	0.61	100	4	"CER;FMN
"	monomer	0.98	PROMOD3 1.1.0	X-RAY	
P41543	YJL002C	476	5b3d074a08cc8f8fc27735b5	SWISSMODEL	25	474	0.945378151	6ezn.1.A	-3.243316544	0.61	100	3.3	"BMA;CPL;MAN;NAG;PTY
"	monomer	0.95	PROMOD3 1.1.0	ELECTRON	
P22219	YBR097W	1454	5b243f72a52be78bca9a5c54	SWISSMODEL	1068	1454	0.266162311	5wlc.25.A	-4.936162295	0.27	12.58	3.8	"UNK;ZN
"	monomer	0.09	PROMOD3 1.1.0	ELECTRON	
P36156	YKR076W	370	5b3a832e732c1e86e50161f1	SWISSMODEL	11	370	0.972972973	5lkb.1.A	-0.907457091	0.62	100	1.45	"
"	homo-dimer	0.96	PROMOD3 1.1.0	X-RAY	
P32288	YPR035W	370	5b3a8e0f08cc8fd9885871e3	SWISSMODEL	21	366	0.935135135	3fky.1.A	-1.027203372	0.62	99.46	2.95	"
"	homo-10-mer	0.95	PROMOD3 1.1.0	X-RAY	
P22855	YGL156W	1083	5b4784db732c1ebdcd1915a7	SWISSMODEL	706	839	0.123730379	3blc.1.A	-4.361456355	0.26	12.82	2.5	"
"	monomer	0.03	PROMOD3 1.1.0	X-RAY	
P38158	YBR299W	584	5b3f5bae9ffd12d5a8d83233	SWISSMODEL	6	582	0.988013699	3axh.1.A	-0.292890411	0.54	72.34	1.8	"CA;GLC
"	monomer	0.92	PROMOD3 1.1.0	X-RAY	
Q12154	YDL100C	354	5b3a4772732c1ecadf18ced8	SWISSMODEL	5	350	0.97740113	3h84.1.A	-1.76858384	0.61	100	2.3	"CL;MG;NA;ZN
"	homo-dimer	0.95	PROMOD3 1.1.0	X-RAY	
P15807	YBR213W	274	5b3ca7c21a200bbab3233fa9	SWISSMODEL	1	273	0.996350365	1kyq.1.B	-1.52590197	0.61	98.54	2.2	"MSE;NAD
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
P15807	YBR213W	274	5b3ca7c21a200bbab3233fa5	SWISSMODEL	10	186	0.645985401	4d7a.1.A	-4.321178914	0.27	15.29	1.8	"AMP;GOL;K;NA;PO4
"	homo-dimer	0.3	PROMOD3 1.1.0	X-RAY	
P27809	YDR483W	442	5b3b910f1a200b7b834817e4	SWISSMODEL	104	442	0.766968326	1s4p.1.A	-1.191812458	0.64	100	2.01	"BMA;CL;EPE;GDP;MAN;MMA;MN;NAG
"	homo-dimer	0.74	PROMOD3 1.1.0	X-RAY	
P00549	YAL038W	500	5b3d5608a03a1ba49e92f039	SWISSMODEL	2	500	0.998	1a3w.1.A	-1.98445689	0.6	100	3	"FBP;K;MN;PGA
"	homo-tetramer	0.97	PROMOD3 1.1.0	X-RAY	
P07250	YDR173C	355	5b3a443d3b85d1ffb10b3972	SWISSMODEL	25	355	0.932394366	2if8.2.A	-2.213842364	0.6	100	2.4	"ADP;CA;MN
"	monomer	0.67	PROMOD3 1.1.0	X-RAY	
P28241	YOR136W	369	5b3a80b49ffd12fd41bc381d	SWISSMODEL	20	369	0.948509485	3blx.1.B	-1.554060559	0.6	100	2.7	"
"	monomer	0.97	PROMOD3 1.1.0	X-RAY	
P28241	YOR136W	369	5b3a80b49ffd12fd41bc3819	SWISSMODEL	37	369	0.902439024	4aj3.1.A	-1.590441794	0.37	35.06	1.9	"CA;ICT;NAP
"	homo-dimer	0.69	PROMOD3 1.1.0	X-RAY	
P32643	YER175C	299	5b3b5314d60c59f03bedf5cc	SWISSMODEL	2	299	0.996655518	3g5t.1.A	-0.156002121	0.62	100	1.12	"DMS;EDO;MSE;SAH;T8N
"	monomer	0.99	PROMOD3 1.1.0	X-RAY	
P32643	YER175C	299	5b3b5314d60c59f03bedf5c8	SWISSMODEL	38	246	0.698996656	6b39.1.A	-4.533328305	0.24	7.85	2.39	"SAH;SO4
"	monomer	0.35	PROMOD3 1.1.0	X-RAY	
P32643	YER175C	299	5b3b5314d60c59f03bedf5c4	SWISSMODEL	11	299	0.966555184	5jgl.2.A	-3.558253697	0.28	15.32	2.28	"NA;SAM
"	monomer	0.49	PROMOD3 1.1.0	X-RAY	
Q08914	YOR391C	237	5b3d8892732c1e20df3c8f57	SWISSMODEL	4	237	0.987341772	3mii.1.A	1.299589862	0.61	100	2.4	"CSO;GOL;PGE;SO4
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
P10614	YHR007C	530	5b3de5f38fd6f907b51d5ed3	SWISSMODEL	6	530	0.990566038	5eqb.1.A	-0.293713507	0.61	99.81	2.19	"1YN;HEM
"	monomer	0.99	PROMOD3 1.1.0	X-RAY	
P41807	YPR036W	478	5b3d0ca19ffd1220b01a8a0b	SWISSMODEL	1	477	0.99790795	5voz.1.P	-4.283551138	0.59	100	7.6	"
"	monomer	0.96	PROMOD3 1.1.0	ELECTRON	
P41807	YPR036W	478	5b3d0ca19ffd1220b01a8a07	SWISSMODEL	2	478	0.99790795	1ho8.1.A	-4.510713226	0.59	100	2.95	"
"	monomer	0.95	PROMOD3 1.1.0	X-RAY	
P41807	YPR036W	478	5b3d0ca19ffd1220b01a8a03	SWISSMODEL	2	476	0.993723849	5d80.1.G	-3.610938464	0.59	100	6.2	"
"	monomer	0.95	PROMOD3 1.1.0	X-RAY	
P28777	YGL148W	376	5b3a9b35d60c5957af7310ca	SWISSMODEL	8	369	0.962765957	1qxo.1.B	-2.068969878	0.36	33.99	2	"EDO;EPS;FMN;MSE;NCO
"	homo-tetramer	0.7	PROMOD3 1.1.0	X-RAY	
P28777	YGL148W	376	5b3a9b35d60c5957af7310c6	SWISSMODEL	1	370	0.984042553	1r52.1.A	-1.104722811	0.61	100	2.89	"
"	homo-tetramer	0.7	PROMOD3 1.1.0	X-RAY	
P43616	YFR044C	481	5b3d1a071a200b7e5aa590e7	SWISSMODEL	1	480	0.997920998	4g1p.1.A	-0.145288237	0.61	100	2.55	"CYS;GLY;ZN
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
Q04089	YDR440W	582	5b3f4c2aa03a1bd5a087a8c5	SWISSMODEL	372	508	0.235395189	3p2k.1.A	-2.974058688	0.26	14.84	2.7	"
"	monomer	0.09	PROMOD3 1.1.0	X-RAY	
Q04089	YDR440W	582	5b3f4c29a03a1bd5a087a8c1	SWISSMODEL	176	582	0.699312715	1u2z.3.A	-0.834785715	0.61	100	2.2	"
"	monomer	0.68	PROMOD3 1.1.0	X-RAY	
P06738	YPR160W	902	5b4573c79ffd12aba55cbeef	SWISSMODEL	27	901	0.970066519	1ygp.1.A	-1.330676869	0.61	98.52	2.8	"PLP;PO4
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
P04806	YFR053C	485	5b3d24ad9ffd123f9c2df6e1	SWISSMODEL	15	485	0.971134021	3b8a.1.A	0.055318398	0.61	100	2.95	"BGC;SO4
"	monomer	0.98	PROMOD3 1.1.0	X-RAY	
