"locus"	"pdbid"	"qstart2"	"qend2"	"sstart2"	"send2"	"strain_type"	"p_value"
"YPR110C"	"4c2m@C"	1	305	31	335	"Wine"	"0.3745"
"YPR110C"	"4c2m@R"	1	305	31	335	"Wine"	"0.3595"
"YPR110C"	"6eu3@C"	1	335	1	335	"Wine"	"0.3464"
"YDL164C"	"2od8@B"	1	11	35	45	"Wine"	"NA"
"YOR095C"	"1xtz@A"	1	239	19	257	"Wine"	"0.2411"
"YJL101C"	"3lvw@A"	1	668	2	669	"Wine"	"0.22"
"YJL101C"	"3ig8@A"	1	668	2	669	"Wine"	"0.2383"
"YJL101C"	"3lvv@A"	1	668	2	669	"Wine"	"0.2348"
"YDR404C"	"5ot2@G"	1	171	1	171	"Wine"	"0.6803"
"YDR404C"	"3po2@G"	1	171	1	171	"Wine"	"0.684"
"YDR404C"	"5sva@G"	1	171	1	171	"Wine"	"0.6746"
"YDR404C"	"3hou@G"	1	171	1	171	"Wine"	"0.6838"
"YDR404C"	"3hou@S"	1	171	1	171	"Wine"	"0.6766"
"YDR404C"	"4by7@G"	1	171	1	171	"Wine"	"0.6808"
"YDR404C"	"3po3@G"	1	171	1	171	"Wine"	"0.6846"
"YDR404C"	"4bxx@G"	1	171	1	171	"Wine"	"0.6794"
"YDR404C"	"3j1n@G"	1	171	1	171	"Wine"	"0.6773"
"YPR187W"	"3m3y@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"4bxx@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"6bm4@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"6eu3@F"	1	83	71	153	"Wine"	"NA"
"YPR187W"	"3s1r@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"2nvq@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"3s1q@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"3rzo@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"3po2@F"	1	87	69	155	"Wine"	"NA"
"YPR187W"	"3cqz@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"5sva@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"4c3i@F"	1	100	55	154	"Wine"	"NA"
"YPR187W"	"4by7@F"	1	87	69	155	"Wine"	"NA"
"YPR187W"	"1k83@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"3s17@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"3rzd@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"3s16@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"3po3@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"3s15@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"4c3h@F"	1	100	55	154	"Wine"	"NA"
"YPR187W"	"3gtl@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"1twa@F"	1	83	72	154	"Wine"	"NA"
"YPR187W"	"1i50@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"2nvt@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"3s14@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"3hou@F"	1	87	69	155	"Wine"	"NA"
"YPR187W"	"3hou@R"	1	87	69	155	"Wine"	"NA"
"YPR187W"	"1i6h@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"5ot2@F"	1	87	69	155	"Wine"	"NA"
"YPR187W"	"1twg@F"	1	83	72	154	"Wine"	"NA"
"YPR187W"	"3s2d@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"6blp@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"3s1n@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"4y7n@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"1twf@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"3s2h@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"4c3j@F"	1	100	55	154	"Wine"	"NA"
"YPR187W"	"6bqf@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"4c2m@F"	1	100	55	154	"Wine"	"NA"
"YPR187W"	"4c2m@U"	1	100	55	154	"Wine"	"NA"
"YPR187W"	"3s1m@F"	1	85	71	155	"Wine"	"NA"
"YPR187W"	"1twc@F"	1	83	72	154	"Wine"	"NA"
"YPR187W"	"1i3q@F"	1	84	72	155	"Wine"	"NA"
"YPR187W"	"3j1n@F"	1	84	72	155	"Wine"	"NA"
"YBR154C"	"3m3y@E"	1	214	2	215	"Wine"	"0.8126"
"YBR154C"	"4bxx@E"	1	214	2	215	"Wine"	"0.8057"
"YBR154C"	"6bm4@E"	1	213	3	215	"Wine"	"0.8351"
"YBR154C"	"6eu3@E"	1	215	1	215	"Wine"	"0.7572"
"YBR154C"	"3s1r@E"	1	214	2	215	"Wine"	"0.7841"
"YBR154C"	"2nvq@E"	1	214	2	215	"Wine"	"0.7727"
"YBR154C"	"3s1q@E"	1	214	2	215	"Wine"	"0.8017"
"YBR154C"	"3rzo@E"	1	214	2	215	"Wine"	"0.8181"
"YBR154C"	"3po2@E"	1	214	2	215	"Wine"	"0.7924"
"YBR154C"	"3cqz@E"	1	213	3	215	"Wine"	"0.7785"
"YBR154C"	"5sva@E"	1	214	2	215	"Wine"	"0.8119"
"YBR154C"	"4c3i@E"	1	215	1	215	"Wine"	"0.7726"
"YBR154C"	"4by7@E"	1	215	1	215	"Wine"	"0.7827"
"YBR154C"	"1k83@E"	1	213	3	215	"Wine"	"0.8362"
"YBR154C"	"3s17@E"	1	214	2	215	"Wine"	"0.8206"
"YBR154C"	"3rzd@E"	1	214	2	215	"Wine"	"0.8131"
"YBR154C"	"3s16@E"	1	214	2	215	"Wine"	"0.8145"
"YBR154C"	"3po3@E"	1	214	2	215	"Wine"	"0.7886"
"YBR154C"	"3s15@E"	1	214	2	215	"Wine"	"0.7987"
"YBR154C"	"4c3h@E"	1	215	1	215	"Wine"	"0.779"
"YBR154C"	"3gtl@E"	1	214	2	215	"Wine"	"0.8218"
"YBR154C"	"1twa@E"	1	215	1	215	"Wine"	"0.7775"
"YBR154C"	"1i50@E"	1	215	1	215	"Wine"	"0.8314"
"YBR154C"	"2nvt@E"	1	214	2	215	"Wine"	"0.7987"
"YBR154C"	"3s14@E"	1	214	2	215	"Wine"	"0.7927"
"YBR154C"	"3hou@E"	1	214	2	215	"Wine"	"0.8047"
"YBR154C"	"3hou@Q"	1	214	2	215	"Wine"	"0.8074"
"YBR154C"	"1i6h@E"	1	214	2	215	"Wine"	"0.8229"
"YBR154C"	"5ot2@E"	1	212	4	215	"Wine"	"0.7929"
"YBR154C"	"1twg@E"	1	215	1	215	"Wine"	"0.7861"
"YBR154C"	"3s2d@E"	1	214	2	215	"Wine"	"0.7772"
"YBR154C"	"1dzf@A"	1	210	5	214	"Wine"	"0.7397"
"YBR154C"	"6blp@E"	1	213	3	215	"Wine"	"0.8326"
"YBR154C"	"3s1n@E"	1	214	2	215	"Wine"	"0.7913"
"YBR154C"	"4y7n@E"	1	214	2	215	"Wine"	"0.8266"
"YBR154C"	"1twf@E"	1	215	1	215	"Wine"	"0.8112"
"YBR154C"	"3s2h@E"	1	214	2	215	"Wine"	"0.8214"
"YBR154C"	"4c3j@E"	1	215	1	215	"Wine"	"0.7686"
"YBR154C"	"6bqf@E"	1	213	3	215	"Wine"	"0.8433"
"YBR154C"	"4c2m@E"	1	212	4	215	"Wine"	"0.7645"
"YBR154C"	"4c2m@T"	1	212	4	215	"Wine"	"0.7658"
"YBR154C"	"3s1m@E"	1	214	2	215	"Wine"	"0.7932"
"YBR154C"	"1twc@E"	1	215	1	215	"Wine"	"0.7685"
"YBR154C"	"1i3q@E"	1	215	1	215	"Wine"	"0.8046"
"YBR154C"	"3j1n@E"	1	214	2	215	"Wine"	"0.8018"
"YOR340C"	"4c2m@4"	1	54	263	316	"Wine"	"NA"
"YOR340C"	"4c2m@O"	1	52	265	316	"Wine"	"NA"
