"locus"	"pdbid"	"qstart2"	"qend2"	"sstart2"	"send2"	"strain_type"	"p_value"
"YPR110C"	"4c2m@C"	1	305	31	335	"bioethanol"	"NA"
"YPR110C"	"4c2m@R"	1	305	31	335	"bioethanol"	"NA"
"YPR110C"	"6eu3@C"	1	335	1	335	"bioethanol"	"NA"
"YDL164C"	"2od8@B"	1	11	35	45	"bioethanol"	"NA"
"YOR095C"	"1xtz@A"	1	239	19	257	"bioethanol"	"NA"
"YJL101C"	"3lvw@A"	1	668	2	669	"bioethanol"	"0.061"
"YJL101C"	"3ig8@A"	1	668	2	669	"bioethanol"	"0.0622"
"YJL101C"	"3lvv@A"	1	668	2	669	"bioethanol"	"0.0599"
"YDR404C"	"5ot2@G"	1	171	1	171	"bioethanol"	"NA"
"YDR404C"	"3po2@G"	1	171	1	171	"bioethanol"	"NA"
"YDR404C"	"5sva@G"	1	171	1	171	"bioethanol"	"NA"
"YDR404C"	"3hou@G"	1	171	1	171	"bioethanol"	"NA"
"YDR404C"	"3hou@S"	1	171	1	171	"bioethanol"	"NA"
"YDR404C"	"4by7@G"	1	171	1	171	"bioethanol"	"NA"
"YDR404C"	"3po3@G"	1	171	1	171	"bioethanol"	"NA"
"YDR404C"	"4bxx@G"	1	171	1	171	"bioethanol"	"NA"
"YDR404C"	"3j1n@G"	1	171	1	171	"bioethanol"	"NA"
"YPR187W"	"3m3y@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"4bxx@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"6bm4@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"6eu3@F"	1	83	71	153	"bioethanol"	"NA"
"YPR187W"	"3s1r@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"2nvq@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"3s1q@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"3rzo@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"3po2@F"	1	87	69	155	"bioethanol"	"NA"
"YPR187W"	"3cqz@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"5sva@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"4c3i@F"	1	100	55	154	"bioethanol"	"NA"
"YPR187W"	"4by7@F"	1	87	69	155	"bioethanol"	"NA"
"YPR187W"	"1k83@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"3s17@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"3rzd@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"3s16@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"3po3@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"3s15@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"4c3h@F"	1	100	55	154	"bioethanol"	"NA"
"YPR187W"	"3gtl@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"1twa@F"	1	83	72	154	"bioethanol"	"NA"
"YPR187W"	"1i50@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"2nvt@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"3s14@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"3hou@F"	1	87	69	155	"bioethanol"	"NA"
"YPR187W"	"3hou@R"	1	87	69	155	"bioethanol"	"NA"
"YPR187W"	"1i6h@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"5ot2@F"	1	87	69	155	"bioethanol"	"NA"
"YPR187W"	"1twg@F"	1	83	72	154	"bioethanol"	"NA"
"YPR187W"	"3s2d@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"6blp@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"3s1n@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"4y7n@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"1twf@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"3s2h@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"4c3j@F"	1	100	55	154	"bioethanol"	"NA"
"YPR187W"	"6bqf@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"4c2m@F"	1	100	55	154	"bioethanol"	"NA"
"YPR187W"	"4c2m@U"	1	100	55	154	"bioethanol"	"NA"
"YPR187W"	"3s1m@F"	1	85	71	155	"bioethanol"	"NA"
"YPR187W"	"1twc@F"	1	83	72	154	"bioethanol"	"NA"
"YPR187W"	"1i3q@F"	1	84	72	155	"bioethanol"	"NA"
"YPR187W"	"3j1n@F"	1	84	72	155	"bioethanol"	"NA"
"YBR154C"	"3m3y@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"4bxx@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"6bm4@E"	1	213	3	215	"bioethanol"	"NA"
"YBR154C"	"6eu3@E"	1	215	1	215	"bioethanol"	"NA"
"YBR154C"	"3s1r@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"2nvq@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"3s1q@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"3rzo@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"3po2@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"3cqz@E"	1	213	3	215	"bioethanol"	"NA"
"YBR154C"	"5sva@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"4c3i@E"	1	215	1	215	"bioethanol"	"NA"
"YBR154C"	"4by7@E"	1	215	1	215	"bioethanol"	"NA"
"YBR154C"	"1k83@E"	1	213	3	215	"bioethanol"	"NA"
"YBR154C"	"3s17@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"3rzd@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"3s16@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"3po3@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"3s15@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"4c3h@E"	1	215	1	215	"bioethanol"	"NA"
"YBR154C"	"3gtl@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"1twa@E"	1	215	1	215	"bioethanol"	"NA"
"YBR154C"	"1i50@E"	1	215	1	215	"bioethanol"	"NA"
"YBR154C"	"2nvt@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"3s14@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"3hou@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"3hou@Q"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"1i6h@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"5ot2@E"	1	212	4	215	"bioethanol"	"NA"
"YBR154C"	"1twg@E"	1	215	1	215	"bioethanol"	"NA"
"YBR154C"	"3s2d@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"1dzf@A"	1	210	5	214	"bioethanol"	"NA"
"YBR154C"	"6blp@E"	1	213	3	215	"bioethanol"	"NA"
"YBR154C"	"3s1n@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"4y7n@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"1twf@E"	1	215	1	215	"bioethanol"	"NA"
"YBR154C"	"3s2h@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"4c3j@E"	1	215	1	215	"bioethanol"	"NA"
"YBR154C"	"6bqf@E"	1	213	3	215	"bioethanol"	"NA"
"YBR154C"	"4c2m@E"	1	212	4	215	"bioethanol"	"NA"
"YBR154C"	"4c2m@T"	1	212	4	215	"bioethanol"	"NA"
"YBR154C"	"3s1m@E"	1	214	2	215	"bioethanol"	"NA"
"YBR154C"	"1twc@E"	1	215	1	215	"bioethanol"	"NA"
"YBR154C"	"1i3q@E"	1	215	1	215	"bioethanol"	"NA"
"YBR154C"	"3j1n@E"	1	214	2	215	"bioethanol"	"NA"
"YOR340C"	"4c2m@4"	1	54	263	316	"bioethanol"	"NA"
"YOR340C"	"4c2m@O"	1	52	265	316	"bioethanol"	"NA"
"YJL026W"	"1jk0@A"	1	333	26	358	"bioethanol"	"NA"
"YBR046C"	"3qwb@A"	1	329	5	333	"bioethanol"	"0.8719"
"YBR046C"	"3qwb@B"	1	329	5	333	"bioethanol"	"0.8767"
"YBR046C"	"3qwb@C"	1	329	5	333	"bioethanol"	"0.8829"
"YBR046C"	"3qwb@D"	1	329	5	333	"bioethanol"	"0.8718"
"YBR046C"	"3qwa@A"	1	330	4	333	"bioethanol"	"0.8496"
"YBR046C"	"3qwa@B"	1	331	3	333	"bioethanol"	"0.8345"
"YJL166W"	"4pd4@H"	1	93	2	94	"bioethanol"	"NA"
"YJL166W"	"2ibz@G"	1	91	2	92	"bioethanol"	"NA"
"YJL166W"	"1kyo@H"	1	93	2	94	"bioethanol"	"NA"
"YJL166W"	"1kyo@S"	1	93	2	94	"bioethanol"	"NA"
"YJL166W"	"1p84@H"	1	91	2	92	"bioethanol"	"NA"
"YJL166W"	"3cx5@H"	1	91	2	92	"bioethanol"	"NA"
"YJL166W"	"3cx5@S"	1	91	2	92	"bioethanol"	"NA"
"YJL166W"	"1kb9@H"	1	91	2	92	"bioethanol"	"NA"
"YJL166W"	"1ezv@G"	1	91	2	92	"bioethanol"	"NA"
"YJL166W"	"3cxh@H"	1	92	2	93	"bioethanol"	"NA"
"YJL166W"	"3cxh@S"	1	91	2	92	"bioethanol"	"NA"
"YPR191W"	"4pd4@B"	1	352	17	368	"bioethanol"	"0.1695"
"YPR191W"	"2ibz@B"	1	352	17	368	"bioethanol"	"0.1779"
"YPR191W"	"1kyo@B"	1	352	17	368	"bioethanol"	"0.1965"
"YPR191W"	"1kyo@M"	1	352	17	368	"bioethanol"	"0.1984"
"YPR191W"	"1p84@B"	1	352	17	368	"bioethanol"	"0.1752"
"YPR191W"	"3cx5@B"	1	352	17	368	"bioethanol"	"0.1733"
"YPR191W"	"3cx5@M"	1	352	17	368	"bioethanol"	"0.1646"
"YPR191W"	"1kb9@B"	1	352	17	368	"bioethanol"	"0.1815"
"YPR191W"	"1ezv@B"	1	352	17	368	"bioethanol"	"0.1829"
"YPR191W"	"3cxh@B"	1	352	17	368	"bioethanol"	"0.1734"
"YPR191W"	"3cxh@M"	1	352	17	368	"bioethanol"	"0.1659"
"YML106W"	"2ps1@A"	1	222	3	224	"bioethanol"	"NA"
"YML106W"	"2ps1@B"	1	222	3	224	"bioethanol"	"NA"
"YIL021W"	"3m3y@C"	1	266	3	268	"bioethanol"	"NA"
"YIL021W"	"4bxx@C"	1	266	3	268	"bioethanol"	"NA"
"YIL021W"	"6bm4@C"	1	266	3	268	"bioethanol"	"NA"
"YIL021W"	"6blp@C"	1	266	3	268	"bioethanol"	"NA"
"YIL021W"	"3s1n@C"	1	266	3	268	"bioethanol"	"NA"
"YIL021W"	"3rzd@C"	1	266	3	268	"bioethanol"	"NA"
"YIL021W"	"3s2d@C"	1	266	3	268	"bioethanol"	"NA"
