UniProtKB_ac	iso_id	uniprot_seq_length	coordinate_id	provider	from	to	coverage	template	qmean	qmean_norm	url
A0A0B7P3V8		1104	5ac92cf0afa3582de52f7f05	SWISSMODEL	533	732	0.18115942029	4bac.1.A	-3.6182704153	0.6363515912	https://swissmodel.expasy.org/repository/uniprot/A0A0B7P3V8.pdb?from=533&to=732&template=4bac.1.A&provider=swissmodel
A2P2R3		262	5ad5e303262325f0e3021d5f	SWISSMODEL	2	221	0.839694656489	1xff.1.A	-4.9216342787	0.6046750844	https://swissmodel.expasy.org/repository/uniprot/A2P2R3.pdb?from=2&to=221&template=1xff.1.A&provider=swissmodel
D6VTK4		431	5ad56a7da52be73d0674ae8b	SWISSMODEL	31	110	0.185614849188	2k9p.1.A	-2.4835125775	0.6331684668	https://swissmodel.expasy.org/repository/uniprot/D6VTK4.pdb?from=31&to=110&template=2k9p.1.A&provider=swissmodel
D6VTK4		431	5a9b159575daaa3ac5712fc2	PDB	252	269	0.0417633410673	1pjd			https://swissmodel.expasy.org/repository/uniprot/D6VTK4.pdb?from=252&to=269&template=1pjd&provider=pdb
D6VTK4		431	5a9b285975daaa3e7a40ca16	PDB	31	110	0.185614849188	2k9p			https://swissmodel.expasy.org/repository/uniprot/D6VTK4.pdb?from=31&to=110&template=2k9p&provider=pdb
D6W196		494	5ad606f3573f2072f8b145ac	SWISSMODEL	6	190	0.374493927126	1eg3.1.A	-4.7271744097	0.5818476771	https://swissmodel.expasy.org/repository/uniprot/D6W196.pdb?from=6&to=190&template=1eg3.1.A&provider=swissmodel
D6W196		494	5ad606f3573f2072f8b145b0	SWISSMODEL	7	190	0.372469635628	2ehb.1.A	-4.6031475138	0.5864153869	https://swissmodel.expasy.org/repository/uniprot/D6W196.pdb?from=7&to=190&template=2ehb.1.A&provider=swissmodel
D6W196		494	5ad606f3573f2072f8b145b4	SWISSMODEL	14	205	0.388663967611	4n5x.1.A	-3.7296587675	0.6319265023	https://swissmodel.expasy.org/repository/uniprot/D6W196.pdb?from=14&to=205&template=4n5x.1.A&provider=swissmodel
I2HB52		66	5ac9ee77afa3589c60f088da	SWISSMODEL	25	49	0.378787878788	2mt8.1.A	-3.6582673892	0.3572802446	https://swissmodel.expasy.org/repository/uniprot/I2HB52.pdb?from=25&to=49&template=2mt8.1.A&provider=swissmodel
O13297		549	5ad66f36a52be761a599004f	SWISSMODEL	245	539	0.537340619308	3kyh.1.A	-3.6107597019	0.634635941	https://swissmodel.expasy.org/repository/uniprot/O13297.pdb?from=245&to=539&template=3kyh.1.A&provider=swissmodel
