"UniProtKB_ac"	"locus"	"uniprot_seq_length"	"coordinate_id"	"provider"	"from"	"to"	"coverage"	"template"	"qmean"	"Seq_similarity"	"Seq_Identity"	"Resolution"	"Ligands"	"Oligo_State"	"GEMQE"	"Built_with"	"Method"
"P32910"	"YNR003C"	"317"	"5ad52900a52be72ac3fa22fc"	"SWISSMODEL"	"11"	"316"	"0.965299684542587"	"6f40.1.P"	"-4.9687704519"	"0.60"	"100.00"	"3.70"	"
"	"monomer"	"0.69"	"PROMOD3 1.1.0"	"ELECTRON"
"P04050"	"YDL140C"	"1733"	"5b32c7d9c4494f32a42c6f3e"	"SWISSMODEL"	"6"	"1452"	"0.834968263127524"	"5x50.1.A"	"-4.048471444"	"0.52"	"72.32"	"4.29"	"
"	"monomer"	"0.74"	"PROMOD3 1.1.0"	"X-RAY"
"P47006"	"YJL148W"	"233"	"5b3da149a03a1bebf7813237"	"SWISSMODEL"	"22"	"180"	"0.682403433476395"	"5m5w.1.N"	"-3.2491867476"	"0.61"	"100.00"	"3.80"	"
"	"monomer"	"0.62"	"PROMOD3 1.1.0"	"ELECTRON"
"P36121"	"YKR025W"	"282"	"5a59e372573f207787fe049a"	"SWISSMODEL"	"71"	"262"	"0.680851063829787"	"5fj9.1.M"	"-4.8276588146"	"0.61"	"100.00"	"4.60"	"UNK;ZN
"	"monomer"	"0.56"	"PROMOD3 1.1.0"	"ELECTRON"
"P25515"	"YEL027W"	"160"	"5b422787732c1e553fc33ab8"	"SWISSMODEL"	"9"	"157"	"0.93125"	"5vox.1.Y"	"-4.2795457091"	"0.59"	"100.00"	"6.80"	"
"	"monomer"	"0.96"	"PROMOD3 1.1.0"	"ELECTRON"
"P00724"	"YIL162W"	"532"	"5b3df53f9ffd126bf90a8146"	"SWISSMODEL"	"25"	"175"	"0.283834586466165"	"5ann.1.A"	"-4.3148426263"	"0.39"	"36.81"	"2.14"	"BMA;GOL;MAN;NAG
"	"homo-dimer"	"0.16"	"PROMOD3 1.1.0"	"X-RAY"
"P00724"	"YIL162W"	"532"	"5b3df53f9ffd126bf90a8140"	"SWISSMODEL"	"24"	"532"	"0.956766917293233"	"4eqv.1.E"	"-2.9525982885"	"0.62"	"100.00"	"3.40"	"
"	"homo-octamer"	"0.97"	"PROMOD3 1.1.0"	"X-RAY"
"P35718"	"YKL144C"	"212"	"5a5af5671405504b2f68c0a6"	"SWISSMODEL"	"2"	"212"	"0.995283018867924"	"5fj9.1.G"	"-4.928079504"	"0.62"	"100.00"	"4.60"	"UNK;ZN
"	"monomer"	"0.94"	"PROMOD3 1.1.0"	"ELECTRON"
"P05626"	"YPL078C"	"244"	"5b3d61ab9ffd12992062840e"	"SWISSMODEL"	"93"	"236"	"0.590163934426229"	"5t4q.1.J"	"-2.1724963571"	"0.29"	"14.29"	"8.53"	"ADP;ATP
"	"monomer"	"0.35"	"PROMOD3 1.1.0"	"ELECTRON"
"P05626"	"YPL078C"	"244"	"5b3d61ab9ffd12992062840a"	"SWISSMODEL"	"93"	"236"	"0.590163934426229"	"5t4q.1.I"	"-2.5189662828"	"0.29"	"14.29"	"8.53"	"ADP;ATP
"	"monomer"	"0.35"	"PROMOD3 1.1.0"	"ELECTRON"
"P05626"	"YPL078C"	"244"	"5b3d61ab9ffd129920628406"	"SWISSMODEL"	"68"	"242"	"0.717213114754098"	"5fil.1.S"	"-1.3743380511"	"0.32"	"21.26"	"7.10"	"
"	"monomer"	"0.50"	"PROMOD3 1.1.0"	"ELECTRON"
"P21306"	"YPL271W"	"62"	"5b2495bd140550aad18668ea"	"SWISSMODEL"	"2"	"60"	"0.951612903225806"	"2wpd.1.I"	"-2.9199957135"	"0.59"	"100.00"	"3.43"	"ADP;ATP;MG
"	"monomer"	"0.97"	"PROMOD3 1.1.0"	"X-RAY"
"P81451"	"YOL077W-A"	"68"	"5ac9e16a7f4bf91f75d38e47"	"SWISSMODEL"	"5"	"28"	"0.352941176470588"	"6b2z.1.S"	"-3.9142737573"	"0.61"	"100.00"	"3.60"	"
"	"monomer"	"0.22"	"PROMOD3 1.1.0"	"ELECTRON"
"P08518"	"YOR151C"	"1224"	"5b4fbeb19ffd12ec1f4ff241"	"SWISSMODEL"	"20"	"1224"	"0.984477124183007"	"3fki.1.B"	"-3.7554340637"	"0.61"	"100.00"	"3.88"	"MG;ZN
"	"monomer"	"0.83"	"PROMOD3 1.1.0"	"X-RAY"
"P08518"	"YOR151C"	"1224"	"5b4fbeb19ffd12ec1f4ff23d"	"SWISSMODEL"	"19"	"1221"	"0.982843137254902"	"5xog.1.B"	"-1.8947115488"	"0.54"	"78.58"	"3.00"	"APC;MG;ZN
"	"monomer"	"0.85"	"PROMOD3 1.1.0"	"X-RAY"
