"UniProtKB_ac"	"locus"	"uniprot_seq_length"	"coordinate_id"	"provider"	"from"	"to"	"coverage"	"template"	"qmean"	"Seq_similarity"	"Seq_Identity"	"Resolution"	"Ligands"	"Oligo_State"	"GEMQE"	"Built_with"	"Method"
"P47076"	"YJL011C"	"161"	"5a5bd605c730d4324f99a9f2"	"SWISSMODEL"	"1"	"160"	"0.993788819875776"	"2ckz.2.A"	"-1.8327881988"	"0.59"	"99.38"	"3.20"	"
"	"monomer"	"0.71"	"PROMOD3 1.1.0"	"X-RAY"
"P25441"	"YDL150W"	"422"	"59c98ab61405506a4858aded"	"SWISSMODEL"	"274"	"422"	"0.353080568720379"	"5fj9.1.N"	"-4.7952031005"	"0.60"	"100.00"	"4.60"	"UNK;ZN
"	"MONOMER"	"0.14"	"PROMOD3 1.0.2"	"ELECTRON"
"P22138"	"YPR010C"	"1203"	"5b4f2c779ffd1292cb557f3e"	"SWISSMODEL"	"674"	"1097"	"0.352452202826268"	"4g7h.1.C"	"-3.7283942582"	"0.38"	"35.68"	"2.90"	"MG;ZN
"	"monomer"	"0.17"	"PROMOD3 1.1.0"	"X-RAY"
"P22138"	"YPR010C"	"1203"	"5b4f2c779ffd1292cb557f3a"	"SWISSMODEL"	"11"	"1203"	"0.99168744804655"	"5m5w.1.B"	"-2.2613191758"	"0.61"	"100.00"	"3.80"	"
"	"monomer"	"0.98"	"PROMOD3 1.1.0"	"ELECTRON"
"P33734"	"YBR248C"	"552"	"5b3e90241a200bc10444e4a6"	"SWISSMODEL"	"1"	"552"	"1"	"1jvn.1.A"	"0.7409461817"	"0.61"	"100.00"	"2.10"	"143;NI;POP;SO4
"	"monomer"	"0.98"	"PROMOD3 1.1.0"	"X-RAY"
"P49723"	"YGR180C"	"345"	"5b3a73031a200b0c31210a92"	"SWISSMODEL"	"3"	"325"	"0.936231884057971"	"1sms.1.A"	"-4.8039046311"	"0.61"	"100.00"	"3.10"	"
"	"homo-dimer"	"0.94"	"PROMOD3 1.1.0"	"X-RAY"
"P38913"	"YDL045C"	"306"	"5b3b2dc3a03a1b42a579b9e1"	"SWISSMODEL"	"1"	"304"	"0.993464052287582"	"2wsi.1.A"	"-1.4454817946"	"0.62"	"100.00"	"1.90"	"FAD;SO4
"	"monomer"	"0.96"	"PROMOD3 1.1.0"	"X-RAY"
"P21524"	"YER070W"	"888"	"5b4540163b85d197f048f3e2"	"SWISSMODEL"	"1"	"746"	"0.84009009009009"	"3paw.2.A"	"-4.4872136242"	"0.61"	"100.00"	"6.61"	"
"	"homo-dimer"	"0.71"	"PROMOD3 1.1.0"	"X-RAY"
"P21524"	"YER070W"	"888"	"5b4540163b85d197f048f3dd"	"SWISSMODEL"	"15"	"796"	"0.880630630630631"	"1zyz.3.C"	"-1.9048052784"	"0.61"	"100.00"	"2.90"	"
"	"homo-tetramer"	"0.80"	"PROMOD3 1.1.0"	"X-RAY"
"P38121"	"YBL035C"	"705"	"5b41f15d08cc8f2e30c701ce"	"SWISSMODEL"	"188"	"676"	"0.693617021276596"	"4y97.1.A"	"-3.8788681861"	"0.33"	"24.29"	"2.51"	"
"	"monomer"	"0.43"	"PROMOD3 1.1.0"	"X-RAY"
