"gene"	"domain"	"number"
"YJR048W"	"PF00034;PF00034;PF00034;PF00034;PF00034;PF00034;PF00034"	7
"YML054C"	"PF00173;PF00173;PF00173;PF01070;PF01070;PF01070;PF01070"	7
"YKR066C"	"PF00141;PF00141;PF00141;PF00141;PF00141;PF00141"	6
"YHR008C"	"PF00081;PF00081;PF00081;PF00081;PF02777;PF02777;PF02777;PF02777"	8
"YJR121W"	"PF00006;PF00006;PF00006;PF00006;PF00006;PF00006;PF02874;PF02874;PF02874;PF02874;PF02874;PF02874"	12
"YDL140C"	"PF00623;PF00623;PF00623;PF00623;PF00623;PF04983;PF04983;PF04983;PF04983;PF04983;PF04990;PF04990;PF04990;PF04990;PF04990;PF04992;PF04992;PF04992;PF04992;PF04992;PF04997;PF04997;PF04997;PF04997;PF04997;PF04998;PF04998;PF04998;PF04998;PF04998;PF05000;PF05000;PF05000;PF05000;PF05000;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001;PF05001"	73
"YOR116C"	"PF00623;PF00623;PF00623;PF04983;PF04983;PF04983;PF04997;PF04997;PF04997;PF04998;PF04998;PF04998;PF05000;PF05000;PF05000"	15
"YBR020W"	"PF00288;PF00288;PF08544;PF08544;PF10509;PF10509"	6
"YIL078W"	"PF00587;PF00587;PF02824;PF02824;PF03129;PF03129;PF07973;PF07973"	8
"YLL018C"	"PF00152;PF00152;PF00152;PF00152;PF01336;PF01336;PF01336;PF01336"	8
"YLR044C"	"PF00205;PF00205;PF00205;PF00205;PF02775;PF02775;PF02775;PF02775;PF02776;PF02776;PF02776;PF02776"	12
"YDL042C"	"PF02146;PF02146;PF02146;PF04574;PF04574"	5
"YKL182W"	"PF00698;PF00698;PF01575;PF01575;PF08354;PF08354;PF13452;PF13452;PF16073;PF16073;PF16073"	11
"YKL194C"	"PF00587;PF00587;PF00587;PF03129;PF03129"	5
"YGL234W"	"PF00586;PF01071;PF02769;PF02843;PF02844"	5
"YBL099W"	"PF00006;PF00006;PF00006;PF00006;PF00306;PF00306;PF00306;PF02874;PF02874;PF02874;PF02874"	11
"YJL130C"	"PF00117;PF00185;PF00988;PF02142;PF02729;PF02786;PF02786;PF02786;PF02787"	9
"YMR108W"	"PF00205;PF00205;PF02775;PF02775;PF02776;PF02776"	6
"YBR115C"	"PF00501;PF00501;PF00501;PF00550;PF00550;PF07993"	6
"YOR151C"	"PF00562;PF00562;PF00562;PF04560;PF04560;PF04560;PF04561;PF04561;PF04561;PF04561;PF04563;PF04563;PF04563;PF04563;PF04565;PF04565;PF04565;PF04566;PF04566;PF04566;PF04567;PF04567;PF04567"	23
"YJR010W"	"PF01747;PF01747;PF01747;PF14306;PF14306;PF14306"	6
"YDR127W"	"PF00275;PF01202;PF01487;PF01487;PF01488;PF01488;PF01761;PF08501;PF08501"	9
"YJL005W"	"PF00211;PF00481;PF08509;PF13855;PF13855;PF13855"	6
"YOR341W"	"PF00623;PF00623;PF04983;PF04983;PF04997;PF04997;PF04998;PF04998;PF05000;PF05000"	10
"YGL062W"	"PF00289;PF00289;PF00289;PF00364;PF00364;PF00364;PF00682;PF00682;PF00682;PF00682;PF02436;PF02436;PF02436;PF02436;PF02785;PF02785;PF02785;PF02786;PF02786;PF02786"	20
"YDR009W"	"PF00288;PF00288;PF00288;PF08544;PF08544;PF08544;PF10509;PF10509;PF10509"	9
"YOR168W"	"PF00749;PF00749;PF03950;PF03950;PF04558;PF04558;PF04557"	7
"YNL102W"	"PF00136;PF00136;PF03104;PF03104;PF08996;PF12254"	6
"YGL167C"	"PF00122;PF00122;PF00689;PF00689;PF00690;PF00690;PF00702;PF00702"	8
"YDR040C"	"PF00122;PF00122;PF00689;PF00690;PF00702;PF13246"	6
"YPL167C"	"PF00136;PF00136;PF03104;PF03104;PF14260"	5
"YLL015W"	"PF00005;PF00005;PF00005;PF00005;PF00005;PF00005;PF00664;PF00664;PF00664;PF00664;PF00664;PF00664"	12
"YDL102W"	"PF00136;PF00136;PF00136;PF03104;PF03104;PF03104;PF14260"	7
"YBR213W"	"PF13241;PF13241;PF14823;PF14823;PF14824;PF14824;PF14824"	7
"YIL021W"	"PF01000;PF01000;PF01000;PF01000;PF01000;PF01193;PF01193;PF01193;PF01193;PF01193"	10
"YHR042W"	"PF00175;PF00175;PF00258;PF00258;PF00258;PF00667;PF00667"	7
